X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.957455,45.8127909990001,209,Trg dr. F. Tuđmana - istok,"1,2",smjer Črnomerec\Trg bana J. Jelačića,"Linija 2 smjer Črnomerec, linija 1 smjer Trg bana Josipa Jelačića"
15.9846630000001,45.8113719990001,210,Trg hr. velikana - jug,"1,17,32",smjer Borongaj,
15.9843940000001,45.811749999,211,Trg hr. velikana - sjever,"1,17,32",smjer Trg bana J. Jelačića,
15.9772280010001,45.8128569990001,212,Trg bana J. Jelačića - jug,"1,6,11,12,13,14,17,31,32,34",smjer Draškovićeva ulica,
15.976505,45.8130649990001,213,Trg bana J. Jelačića - sjever,"1,6,11,12,13,14,17,31,32,34",smjer Frankopanska,
15.991697,45.8081099990001,214,Trg P. Krešimira IV - istok,"5,7",smjer Kvaternikov trg,
15.9916289990001,45.807848999,215,Trg P. Krešimira IV - zapad,"5,7",smjer Autobusni kolodvor,
15.9686980000001,45.8087429990001,216,Trg Republike Hrvatske  - istok,"12,13,14,17,32,34",smjer Trg bana J. Jelačića,
15.968821001,45.8092859990001,217,Trg Republike Hrvatske - zapad,"12,13,14,17,32,34",smjer iz grada,
15.987651,45.8094159990001,218,Trg žrt. fašizma - jug,"1,9,13,17,32",smjer Šubićeva ulica,
15.988434,45.8100439990001,219,Trg žrt. fašizma - sjever,"1,9,13,17,32",smjer Trg bana J. Jelačića\Glavni kolodvor,"Linije 1,17 i 32 smjer Trg bana J. Jelačića, linije 9 i 13 smjer Glavni kolodvor"
15.965241,45.7770899990001,220,Trnsko - jug,"7,14,31",smjer Zapruđe,
15.964701,45.7771579990001,221,Trnsko - sjever,"7,14,31",smjer Savski most,
15.996454,45.813953999,222,Tržnica Kvatrić - istok,"5,7,13",smjer Dubrava\Dubec,"Linija 5 prometuje do okretišta Dubrava, linija 7 prometuje do okretišta Dubec, linija 13 do Kvaternikovog trga"
15.9948450000001,45.8122049990001,223,Tržnica Kvatrić - zapad,"5,7,13",smjer Glavni kolodvor\Autobusni kolodvor,"Linija 13 smjer Glavni kolodvor, linija 5 i 7 Autobusni kolodvor"
15.9974730010001,45.811028999,224,Tuškanova - jug,"1,9,17,32",smjer Borongaj,
15.9977640000001,45.811156999,225,Tuškanova - sjever,"1,9,17,32",smjer Trg žrtava fašizma,
15.9609400000001,45.797361999,226,Učit. fakultet - istok,"4,5,14,17,32",smjer prema gradu,
15.960194001,45.7965359990001,227,Učit. fakultet - zapad,"4,5,14,17,32",smjer Savski most\Prečko,"Linija 4 i 14 okretište Savski most, linije 5,17,32 smjer Prečko, "
15.9978860000001,45.7779599990001,228,Utrina - jug,"6,7,14,31",smjer Zapruđe,
15.995789001,45.7779909990001,229,Utrina - sjever,"6,7,14,31",smjer Sopot\Savski most, Linija 6 prometuje do Sopota
15.9714690000001,45.777255999,230,Velesajam - jug,"7,14,31",smjer Zapruđe,
15.970827,45.7773059990001,231,Velesajam - sjever,"7,14,31",smjer Savski most,
15.955163,45.7888839990001,232,Veslačka - istok,"4,5,14,17,32",smjer prema  gradu,
15.954728,45.7885439990001,233,Veslačka - zapad,"4,5,14,17,32",smjer Savski most\ Prečko,"Linija 4 i 14 smjer okretište Savski most, linije 5,17,32 smjer Prečko"
15.95926,45.794904999,234,Vjesnik - istok,"4,5,14,17,32",smjer prema  gradu,
15.958047,45.793396999,235,Vjesnik - zapad,"4,5,14,17,32",smjer Savski most\Prečko,"Linija 4 i 14 smjer okretište Savski most, linije 5,17,32 smjer Prečko"
15.9669830010001,45.8062359990001,236,Vodnikova - istok,"12,13,14,17,32,34",smjer Trg bana J. Jelačića,
15.9670830000001,45.8054759990001,237,Vodnikova - sjever,"2,4,9,33",smjer Savska cesta,
15.9665890000001,45.805959999,238,Vodnikova - zapad,"12,13,14,17,32,34",smjer Savski most\ Ljubljanica,"Linija 12 i 34 smjer Ljubljanica,  linije 13,14,17 smjer iz grada"
15.9676450000001,45.805392999,239,Vodnikova - jug,"2,4,9,33",smjer Glavni kolodvor,
15.9868559990001,45.8138089990001,240,Vončinina - sjever,"4,11,12,34",smjer prema gradu,
15.9867320010001,45.8136769990001,241,Vončinina - jug,"4,11,12,34",smjer Dubrava\Dubec,"Linija 12 prometuje do okretišta Dubrava, linije 4, 11 i 34 smjer Dubec"
15.967546,45.7996439990001,242,Vrbik - jug,"3,5,13,33",smjer Av. Marina Držića,
